medicine_name,category,current_stock,avg_monthly_sales,unit_price,days_until_expiry,store_id,will_expire_unused
MED-5520-SX,Antibiotics,412,117,21.41,449,Store_B,0
MED-7527-DI,Antiseptics,258,113,24.79,128,Store_A,0
MED-5703-LO,Supplements,406,129,64.55,192,Store_D,0
MED-4631-JC,Supplements,173,69,51.26,306,Store_D,0
MED-5000-UQ,Antiseptics,388,137,170.6,430,Store_D,0
MED-3886-OU,Antibiotics,180,116,129.08,51,Store_B,0
MED-8350-ON,Supplements,55,9,128.07,255,Store_A,0
MED-0152-WZ,Antibiotics,288,112,101.04,482,Store_D,0
MED-4111-EO,Supplements,308,148,116.54,221,Store_A,0
MED-3532-NQ,Antibiotics,176,47,183.4,128,Store_D,0
MED-9905-ZY,Antibiotics,41,25,69.5,331,Store_A,0
MED-8160-IG,Antipyretics,192,117,62.42,190,Store_D,0
MED-8346-UJ,Antipyretics,132,19,113.58,595,Store_B,0
MED-9706-KE,Antipyretics,364,25,45.74,692,Store_B,0
MED-0089-IV,Antipyretics,494,131,67.9,133,Store_A,0
MED-3431-VE,Antibiotics,303,40,62.25,567,Store_C,0
MED-1486-RZ,Analgesics,413,14,20.91,65,Store_A,1
MED-0462-FI,Antiseptics,325,9,141.88,429,Store_B,1
MED-6343-LB,Antiseptics,375,144,78.24,80,Store_A,0
MED-0229-VN,Analgesics,67,126,168.59,599,Store_B,0
MED-6386-XC,Antibiotics,184,71,64.14,473,Store_A,0
MED-4499-OT,Antibiotics,268,54,57.95,649,Store_A,0
MED-4608-DJ,Antiseptics,266,110,42.9,379,Store_C,0
MED-2223-BL,Antipyretics,315,53,30.89,399,Store_D,0
MED-0300-KP,Analgesics,162,148,160.06,633,Store_B,0
MED-1903-QN,Analgesics,233,118,20.77,156,Store_A,0
MED-4565-ND,Antiseptics,133,59,183.47,125,Store_B,0
MED-9932-VG,Antibiotics,492,118,129.46,218,Store_C,0
MED-9294-QL,Supplements,282,94,86.82,105,Store_B,0
MED-1349-UN,Antipyretics,489,87,7.81,249,Store_A,0
MED-3175-BX,Antibiotics,98,145,24.08,461,Store_A,0
MED-4884-DU,Antiseptics,293,102,82.71,551,Store_B,0
MED-3369-XN,Supplements,104,35,55.87,688,Store_B,0
MED-1594-FA,Antibiotics,329,5,125.09,365,Store_C,1
MED-2824-ZV,Analgesics,480,129,129.1,693,Store_D,0
MED-7366-RK,Analgesics,167,125,30.06,720,Store_C,0
MED-7224-NN,Supplements,272,68,164.98,197,Store_B,0
MED-8033-MO,Antipyretics,48,30,18.53,636,Store_B,0
MED-9940-EW,Analgesics,257,36,70.63,119,Store_D,1
MED-8054-SY,Supplements,414,91,71.42,144,Store_A,0
MED-8053-CO,Antiseptics,318,115,127.64,442,Store_D,0
MED-7922-XM,Antiseptics,221,22,193.68,705,Store_B,0
MED-4112-FU,Supplements,461,100,85.46,125,Store_D,1
MED-2797-BH,Supplements,272,114,137.57,308,Store_A,0
MED-9985-UH,Antipyretics,365,31,181.0,91,Store_D,1
MED-0334-TF,Antibiotics,346,142,179.63,206,Store_D,0
MED-1119-AG,Antiseptics,449,148,22.8,484,Store_D,0
MED-7814-GC,Antiseptics,343,112,21.24,98,Store_C,0
MED-3002-NI,Antiseptics,29,124,46.48,594,Store_C,0
MED-5096-WG,Antibiotics,43,110,186.53,215,Store_C,0
MED-4086-UN,Analgesics,137,76,27.83,617,Store_A,0
MED-7835-FA,Analgesics,446,146,24.72,548,Store_B,0
MED-8688-RQ,Supplements,172,138,165.26,663,Store_B,0
MED-4594-WC,Supplements,33,84,118.35,394,Store_A,0
MED-6810-YU,Antiseptics,149,72,197.27,161,Store_D,0
MED-6076-AI,Antiseptics,419,20,156.54,211,Store_C,1
MED-5136-NW,Antipyretics,206,91,69.4,155,Store_C,0
MED-6450-FB,Supplements,145,127,15.98,505,Store_D,0
MED-5273-YH,Supplements,387,106,150.12,416,Store_A,0
MED-0275-HR,Antiseptics,194,114,21.16,146,Store_B,0
MED-5665-IO,Analgesics,48,62,67.92,109,Store_B,0
MED-1834-DI,Supplements,207,148,194.01,431,Store_C,0
MED-5473-YQ,Antibiotics,309,15,62.43,542,Store_A,1
MED-2732-TH,Antipyretics,148,13,191.95,387,Store_D,0
MED-7316-AB,Antiseptics,377,9,38.09,705,Store_B,1
MED-2114-WT,Analgesics,320,29,20.16,70,Store_D,1
MED-7084-AZ,Antipyretics,451,146,59.55,490,Store_D,0
MED-4219-EV,Supplements,401,47,19.86,419,Store_B,0
MED-6987-UH,Antipyretics,260,48,184.24,39,Store_D,1
MED-5153-VT,Analgesics,255,110,37.14,403,Store_A,0
MED-4963-GB,Analgesics,228,12,120.86,92,Store_A,1
MED-5030-ZY,Antipyretics,287,99,12.18,540,Store_A,0
MED-5805-CC,Supplements,315,7,139.88,674,Store_B,1
MED-2818-WD,Antipyretics,441,24,154.95,706,Store_B,0
MED-6938-CO,Analgesics,87,146,52.01,486,Store_B,0
MED-5237-YL,Antibiotics,55,5,49.59,517,Store_D,0
MED-7850-WS,Analgesics,352,96,27.14,183,Store_B,0
MED-3656-AO,Analgesics,442,119,167.12,335,Store_D,0
MED-7013-ZN,Antibiotics,58,134,22.24,430,Store_D,0
MED-0465-YM,Supplements,345,143,142.3,464,Store_C,0
MED-5286-TL,Antiseptics,230,39,123.58,364,Store_C,0
MED-7324-NT,Antipyretics,451,53,111.75,510,Store_D,0
MED-0572-HY,Antiseptics,34,107,173.16,162,Store_A,0
MED-9318-DM,Antiseptics,142,146,100.96,537,Store_D,0
MED-4817-LU,Supplements,38,7,101.06,234,Store_B,0
MED-5781-BC,Antipyretics,47,116,109.77,692,Store_C,0
MED-2992-SC,Antipyretics,378,145,129.97,389,Store_D,0
MED-0629-NC,Antibiotics,199,97,97.42,122,Store_D,0
MED-9911-JH,Analgesics,65,123,48.65,34,Store_B,0
MED-4038-PA,Antiseptics,174,62,11.2,542,Store_A,0
MED-5924-IT,Antibiotics,16,91,179.37,107,Store_B,0
MED-6803-PQ,Supplements,415,74,23.0,76,Store_A,1
MED-1594-SL,Antipyretics,323,49,16.91,55,Store_D,1
MED-7929-NL,Antibiotics,12,114,121.47,721,Store_C,0
MED-7710-YL,Analgesics,32,79,95.19,394,Store_B,0
MED-7181-ES,Antipyretics,316,116,144.1,652,Store_C,0
MED-1198-LC,Antipyretics,243,19,92.25,44,Store_D,1
MED-0996-AH,Antibiotics,123,29,8.91,302,Store_C,0
MED-6474-CI,Analgesics,130,45,50.48,554,Store_D,0
MED-6950-LQ,Antibiotics,72,139,158.89,138,Store_B,0
MED-5396-QY,Antiseptics,115,35,113.76,398,Store_D,0
MED-0629-BR,Antipyretics,46,102,75.8,311,Store_D,0
MED-2734-ZL,Analgesics,447,60,197.37,406,Store_A,0
MED-1164-RO,Supplements,154,22,34.81,532,Store_D,0
MED-4920-ZH,Antiseptics,354,76,22.14,379,Store_C,0
MED-8897-HG,Antibiotics,251,132,107.28,69,Store_A,0
MED-7416-DK,Antiseptics,412,7,82.58,104,Store_D,1
MED-1597-NJ,Antibiotics,98,63,186.23,421,Store_B,0
MED-3357-SP,Antipyretics,177,45,44.99,439,Store_B,0
MED-7902-EX,Antiseptics,279,21,52.27,588,Store_A,0
MED-5049-GH,Analgesics,146,65,22.02,168,Store_C,0
MED-6770-BV,Antiseptics,337,4,15.11,719,Store_D,1
MED-5007-LN,Analgesics,265,139,198.04,42,Store_D,1
MED-9415-RE,Analgesics,88,66,32.07,358,Store_A,0
MED-8380-DH,Antibiotics,463,144,96.96,448,Store_B,0
MED-5047-HC,Antibiotics,73,63,150.47,363,Store_A,0
MED-8207-WI,Antipyretics,141,77,78.95,542,Store_D,0
MED-7543-OR,Antiseptics,324,94,32.26,258,Store_B,0
MED-3001-OR,Antiseptics,290,36,37.03,34,Store_C,1
MED-5046-HL,Antipyretics,82,63,74.97,71,Store_A,0
MED-1938-NZ,Analgesics,300,73,90.63,555,Store_D,0
MED-8148-HT,Antipyretics,129,98,150.78,172,Store_A,0
MED-5956-RP,Antibiotics,149,54,181.76,68,Store_C,1
MED-6099-CK,Antipyretics,395,43,32.16,44,Store_C,1
MED-6788-OE,Supplements,293,39,151.72,440,Store_C,0
MED-6607-MF,Antibiotics,258,87,144.24,546,Store_C,0
MED-4042-DP,Analgesics,357,119,165.15,188,Store_C,0
MED-5106-TE,Antiseptics,369,16,160.47,290,Store_A,1
MED-2443-PS,Antiseptics,336,131,7.38,656,Store_C,0
MED-4890-IW,Antiseptics,296,27,54.1,98,Store_D,1
MED-0703-OB,Antipyretics,258,75,71.79,163,Store_D,0
MED-3315-FC,Analgesics,306,108,34.9,170,Store_D,0
MED-8991-SA,Analgesics,477,112,146.59,712,Store_D,0
MED-3926-OM,Antiseptics,360,69,159.07,156,Store_B,0
MED-2629-UJ,Antibiotics,96,32,123.31,80,Store_A,1
MED-0700-BF,Antibiotics,218,12,92.91,642,Store_A,0
MED-2980-BL,Analgesics,114,58,69.77,596,Store_C,0
MED-6413-RT,Supplements,435,54,70.36,465,Store_A,0
MED-4098-WF,Supplements,158,36,82.64,566,Store_B,0
MED-2699-WF,Antipyretics,298,131,95.81,504,Store_B,0
MED-2866-UJ,Antipyretics,21,129,48.8,208,Store_B,0
MED-2456-XR,Antibiotics,459,89,65.74,314,Store_C,0
MED-3465-OJ,Antipyretics,154,115,134.39,113,Store_A,0
MED-8176-TA,Antibiotics,152,119,172.82,92,Store_A,0
MED-4948-ZU,Antibiotics,331,2,65.44,244,Store_C,1
MED-3400-SD,Antipyretics,444,63,45.0,314,Store_A,0
MED-9663-TH,Supplements,481,31,168.13,48,Store_B,1
MED-3503-MV,Antibiotics,82,116,93.39,223,Store_B,0
MED-8317-HV,Antiseptics,117,115,101.92,673,Store_A,0
MED-0430-AI,Supplements,59,104,151.88,487,Store_C,0
MED-7504-WI,Analgesics,384,88,195.89,207,Store_C,0
MED-4511-EK,Supplements,12,66,112.59,472,Store_C,0
MED-2227-DI,Supplements,332,55,71.16,258,Store_C,0
MED-7147-DY,Antipyretics,101,93,51.45,447,Store_C,0
MED-5412-CW,Antipyretics,404,143,62.16,36,Store_B,1
MED-6404-OY,Antibiotics,155,86,10.17,410,Store_C,0
MED-1142-WK,Antiseptics,289,83,179.07,552,Store_B,0
MED-6807-EE,Analgesics,199,120,57.27,290,Store_A,0
MED-0136-LI,Antibiotics,230,54,62.42,529,Store_B,0
MED-8470-CS,Antiseptics,284,82,174.35,661,Store_C,0
MED-8353-NC,Antibiotics,374,116,104.93,550,Store_D,0
MED-6180-CR,Analgesics,241,26,55.29,307,Store_C,0
MED-0655-LV,Antiseptics,158,30,38.48,104,Store_B,1
MED-5008-TN,Analgesics,132,86,163.94,70,Store_B,0
MED-9199-OJ,Analgesics,21,123,145.44,658,Store_B,0
MED-3628-PG,Supplements,31,58,56.97,197,Store_B,0
MED-8986-GH,Antiseptics,241,54,39.2,714,Store_A,0
MED-2658-FC,Analgesics,473,123,87.3,159,Store_D,0
MED-5483-PW,Antipyretics,197,52,22.62,400,Store_B,0
MED-8155-TB,Supplements,153,12,61.3,541,Store_D,0
MED-2617-NM,Antibiotics,191,40,124.03,339,Store_B,0
MED-3892-BO,Supplements,316,34,57.63,177,Store_C,1
MED-8462-XX,Antipyretics,248,82,101.79,394,Store_C,0
MED-8114-KW,Analgesics,205,74,19.65,46,Store_A,1
MED-5567-PB,Antibiotics,65,105,89.79,68,Store_C,0
MED-7620-YG,Antipyretics,233,109,140.47,507,Store_B,0
MED-3661-KU,Analgesics,16,20,66.35,46,Store_B,0
MED-5556-OY,Antibiotics,315,48,21.91,621,Store_D,0
MED-4294-HS,Antipyretics,268,82,133.46,403,Store_D,0
MED-0608-PL,Antibiotics,470,90,131.1,600,Store_B,0
MED-6236-KY,Antibiotics,369,27,12.69,45,Store_C,1
MED-2005-QY,Antibiotics,411,27,115.75,279,Store_C,1
MED-7013-KU,Supplements,11,138,42.56,527,Store_C,0
MED-4919-JA,Supplements,86,117,169.69,431,Store_C,0
MED-4596-SG,Analgesics,107,18,131.78,181,Store_C,0
MED-4879-WY,Antiseptics,192,46,20.01,200,Store_D,0
MED-4055-LO,Analgesics,187,109,116.62,526,Store_D,0
MED-9890-UE,Supplements,474,142,127.05,45,Store_A,1
MED-4382-KT,Analgesics,112,127,86.41,199,Store_B,0
MED-2655-VU,Antipyretics,251,14,108.14,445,Store_D,1
MED-8723-EE,Antipyretics,383,40,6.85,58,Store_B,1
MED-1276-JV,Antibiotics,481,63,98.58,726,Store_D,0
MED-0535-SU,Antiseptics,243,122,154.81,388,Store_D,0
MED-0508-ME,Supplements,69,4,96.13,405,Store_B,1
MED-9693-JV,Analgesics,328,147,50.55,694,Store_D,0
MED-4693-QS,Antibiotics,441,74,26.35,373,Store_D,0
MED-5459-KF,Antiseptics,191,38,158.34,409,Store_B,0
MED-9532-QY,Antipyretics,66,78,197.89,593,Store_D,0
MED-8950-IE,Antipyretics,76,149,168.38,339,Store_A,0
MED-2330-PY,Antipyretics,497,111,49.98,255,Store_A,0
MED-1128-KZ,Analgesics,429,4,166.11,546,Store_A,1
MED-6014-FS,Antibiotics,13,100,121.47,602,Store_C,0
MED-7302-SE,Analgesics,423,83,140.72,245,Store_C,0
MED-3627-IO,Antipyretics,490,14,48.64,118,Store_A,1
MED-4211-OW,Antiseptics,402,102,22.84,646,Store_D,0
MED-0143-GR,Antipyretics,127,30,178.31,361,Store_B,0
MED-4221-TQ,Antibiotics,467,41,186.66,424,Store_C,0
MED-7706-DH,Analgesics,476,125,77.67,357,Store_C,0
MED-5467-UU,Supplements,180,91,108.86,66,Store_D,0
MED-7844-WE,Supplements,288,82,17.0,330,Store_D,0
MED-8424-QV,Supplements,119,68,72.82,69,Store_C,0
MED-4803-SM,Supplements,241,34,176.33,176,Store_D,1
MED-7789-MM,Antiseptics,357,60,174.12,710,Store_A,0
MED-5099-DR,Antipyretics,49,90,186.37,385,Store_C,0
MED-3144-RX,Antipyretics,426,8,176.92,586,Store_B,1
MED-4477-PJ,Antibiotics,35,24,6.0,701,Store_C,0
MED-3639-JJ,Supplements,162,40,36.35,385,Store_B,0
MED-9415-WO,Supplements,481,13,6.25,253,Store_A,1
MED-9468-UI,Antipyretics,117,18,27.59,729,Store_D,0
MED-8690-JW,Supplements,167,71,60.25,484,Store_B,0
MED-5114-CN,Antibiotics,228,64,81.47,364,Store_B,0
MED-2818-QS,Supplements,481,23,187.76,513,Store_B,1
MED-6441-MF,Antiseptics,223,18,155.34,430,Store_B,0
MED-0612-UL,Antibiotics,26,121,13.92,335,Store_B,0
MED-9575-TC,Supplements,208,126,79.8,58,Store_C,0
MED-6028-YE,Antibiotics,138,112,100.29,488,Store_B,0
MED-3357-EJ,Analgesics,486,30,189.14,128,Store_A,1
MED-1064-EE,Antibiotics,43,16,159.99,186,Store_C,0
MED-6252-MZ,Antiseptics,292,131,155.7,113,Store_B,0
MED-5440-NQ,Antipyretics,31,82,192.83,469,Store_D,0
MED-6576-SF,Supplements,25,48,86.85,113,Store_B,0
MED-2563-MM,Antipyretics,445,132,65.83,599,Store_D,0
MED-6729-RV,Analgesics,449,65,174.28,553,Store_B,0
MED-6192-VI,Antiseptics,212,28,193.8,459,Store_A,0
MED-6495-HR,Antibiotics,97,54,34.96,56,Store_B,0
MED-5342-QG,Analgesics,203,132,160.38,722,Store_D,0
MED-1693-CP,Antiseptics,382,132,41.16,556,Store_A,0
MED-2884-FX,Antibiotics,386,85,88.91,707,Store_D,0
MED-8781-CZ,Antibiotics,448,64,132.05,530,Store_A,0
MED-2753-MB,Analgesics,348,73,65.52,101,Store_A,1
MED-1829-JI,Analgesics,482,65,82.13,524,Store_C,0
MED-9925-TN,Antipyretics,305,34,190.77,454,Store_D,0
MED-7465-TO,Antipyretics,218,89,33.45,617,Store_A,0
MED-7028-EO,Antiseptics,152,98,105.95,618,Store_D,0
MED-0723-XQ,Analgesics,410,104,30.88,119,Store_B,0
MED-4944-ZN,Analgesics,147,107,37.66,334,Store_D,0
MED-0274-GR,Antipyretics,321,124,11.16,102,Store_C,0
MED-2976-HY,Antibiotics,374,9,189.73,347,Store_D,1
MED-0018-ZQ,Antipyretics,387,8,133.86,237,Store_D,1
MED-5251-VA,Analgesics,26,128,130.5,729,Store_B,0
MED-0649-VX,Antipyretics,470,13,53.19,566,Store_A,1
MED-0423-LX,Antipyretics,126,148,195.29,385,Store_A,0
MED-5868-FD,Supplements,123,54,133.45,336,Store_D,0
MED-7099-MZ,Analgesics,458,147,132.39,578,Store_D,0
MED-6566-IA,Antibiotics,63,132,20.9,64,Store_A,0
MED-7082-HY,Supplements,442,98,168.89,188,Store_B,0
MED-1939-AD,Supplements,28,149,127.61,393,Store_B,0
MED-3812-GO,Antiseptics,448,51,174.07,637,Store_A,0
MED-6714-TU,Antiseptics,254,118,82.13,607,Store_C,0
MED-8774-LI,Analgesics,424,7,132.73,400,Store_B,1
MED-5014-BJ,Supplements,272,132,126.48,581,Store_A,0
MED-6474-OM,Antibiotics,359,27,144.59,507,Store_C,0
MED-2709-GH,Analgesics,432,15,194.42,404,Store_A,1
MED-7647-JQ,Supplements,426,42,53.21,410,Store_C,0
MED-8925-QC,Antibiotics,88,131,23.58,174,Store_C,0
MED-9485-VR,Antibiotics,32,67,172.31,290,Store_C,0
MED-4012-IQ,Antibiotics,428,46,51.22,316,Store_C,0
MED-3102-BC,Analgesics,199,119,38.1,634,Store_B,0
MED-9693-MQ,Antiseptics,354,106,89.02,305,Store_D,0
MED-9629-OO,Antipyretics,464,2,54.24,313,Store_A,1
MED-9349-WZ,Antipyretics,425,50,169.61,585,Store_D,0
MED-7410-RI,Antiseptics,371,135,45.14,363,Store_B,0
MED-2948-OX,Antibiotics,297,21,15.08,30,Store_C,1
MED-2641-VK,Antipyretics,202,60,66.65,720,Store_B,0
MED-2899-KM,Antiseptics,494,21,197.39,245,Store_C,1
MED-1044-WD,Antipyretics,130,51,194.75,68,Store_C,1
MED-6815-VG,Antipyretics,182,39,32.23,413,Store_B,0
MED-2987-TC,Supplements,312,81,188.26,404,Store_D,0
MED-2479-SN,Analgesics,345,130,147.51,698,Store_D,0
MED-5405-NG,Supplements,499,87,54.78,222,Store_C,0
MED-8156-ZH,Analgesics,431,115,52.61,567,Store_D,0
MED-6895-WH,Antibiotics,80,73,160.12,30,Store_C,0
MED-0482-IN,Supplements,308,70,117.55,249,Store_B,0
MED-2148-DE,Analgesics,196,64,195.55,710,Store_A,0
MED-2993-TV,Supplements,77,78,61.29,353,Store_B,0
MED-9421-HE,Supplements,106,133,135.18,483,Store_B,0
MED-5975-JW,Analgesics,401,24,89.94,360,Store_A,1
MED-1243-WE,Antibiotics,217,144,127.89,172,Store_A,0
MED-5024-UN,Antipyretics,320,94,92.5,334,Store_D,0
MED-2778-BQ,Antibiotics,295,103,19.27,651,Store_B,0
MED-5968-TG,Analgesics,454,10,79.06,357,Store_D,1
MED-8080-YQ,Analgesics,458,118,163.68,694,Store_D,0
MED-8966-NV,Supplements,486,49,118.13,329,Store_D,0
MED-5387-SY,Antipyretics,436,88,163.53,527,Store_D,0
MED-9788-SH,Antipyretics,431,22,43.18,365,Store_C,1
MED-9457-YC,Supplements,128,144,52.48,80,Store_C,0
MED-0715-RP,Antiseptics,281,142,73.57,363,Store_A,0
MED-9811-PM,Antiseptics,377,53,135.67,698,Store_C,0
MED-4746-PI,Antiseptics,295,137,65.71,449,Store_B,0
MED-9734-FK,Analgesics,6,78,85.64,374,Store_B,0
MED-2861-BM,Antipyretics,267,96,172.59,68,Store_A,1
MED-3121-TH,Antibiotics,430,43,183.96,113,Store_D,1
MED-8497-XQ,Antibiotics,176,121,107.67,588,Store_C,0
MED-6316-BX,Supplements,379,119,105.46,249,Store_A,0
MED-0742-TC,Analgesics,13,16,124.14,407,Store_A,0
MED-5553-RN,Supplements,174,73,155.14,78,Store_B,0
MED-0496-WR,Antipyretics,297,69,58.59,560,Store_D,0
MED-6298-AU,Antiseptics,171,90,23.63,705,Store_B,0
MED-4606-PY,Antibiotics,443,70,37.76,512,Store_D,0
MED-2747-ZE,Analgesics,165,120,109.39,691,Store_D,0
MED-5851-MO,Supplements,147,12,50.23,619,Store_A,0
MED-5021-SC,Supplements,445,3,58.54,292,Store_A,1
MED-8119-TJ,Analgesics,327,43,88.5,196,Store_A,1
MED-3987-QY,Antibiotics,463,25,30.04,560,Store_D,0
MED-9590-YE,Analgesics,106,43,181.58,650,Store_B,0
MED-8810-VY,Antiseptics,236,98,121.17,102,Store_D,0
MED-8279-AO,Antibiotics,383,71,74.22,590,Store_D,0
MED-7969-RD,Analgesics,448,6,18.64,189,Store_A,1
MED-3581-EU,Analgesics,71,45,68.25,288,Store_B,0
MED-8441-PH,Analgesics,219,3,75.77,383,Store_C,1
MED-1744-XY,Antiseptics,268,45,22.31,482,Store_A,0
MED-0716-LZ,Supplements,291,48,44.18,237,Store_B,0
MED-3499-TX,Antibiotics,59,145,5.24,429,Store_D,0
MED-8656-XX,Antiseptics,7,145,79.59,308,Store_D,0
MED-5885-DI,Antipyretics,108,119,198.53,277,Store_D,0
MED-2043-FM,Antibiotics,125,31,106.59,435,Store_B,0
MED-1509-WC,Antibiotics,276,39,36.06,538,Store_B,0
MED-8215-EA,Antiseptics,485,115,71.63,390,Store_A,0
MED-8523-DV,Analgesics,479,76,165.93,436,Store_B,0
MED-7186-XI,Antiseptics,470,56,36.54,435,Store_C,0
MED-2330-CM,Antiseptics,105,13,186.47,71,Store_B,1
MED-4159-PP,Analgesics,433,36,136.49,699,Store_B,0
MED-2982-AC,Antipyretics,340,8,64.41,102,Store_C,1
MED-7520-FC,Supplements,167,67,34.99,495,Store_B,0
MED-5715-WW,Antiseptics,470,11,165.38,282,Store_B,1
MED-8032-VN,Antibiotics,168,96,99.98,139,Store_D,0
MED-5017-WJ,Supplements,440,132,190.8,54,Store_A,1
MED-9848-XL,Supplements,486,137,98.26,566,Store_C,0
MED-0641-LE,Antiseptics,177,13,193.34,637,Store_D,0
MED-1673-OD,Supplements,35,79,175.84,476,Store_B,0
MED-6552-BC,Supplements,47,131,131.79,496,Store_C,0
MED-7597-EF,Antipyretics,9,11,46.29,411,Store_C,0
MED-1591-ED,Analgesics,257,57,62.98,112,Store_A,1
MED-3168-NI,Antipyretics,153,74,157.63,523,Store_C,0
MED-7853-IA,Antiseptics,101,5,128.47,581,Store_A,0
MED-2469-QP,Supplements,363,125,64.72,449,Store_D,0
MED-3815-CU,Analgesics,67,117,83.94,512,Store_C,0
MED-7347-NY,Antipyretics,96,15,39.49,627,Store_A,0
MED-0109-ZX,Analgesics,66,80,118.52,500,Store_B,0
MED-9657-QF,Supplements,69,14,7.36,271,Store_A,0
MED-0979-LC,Supplements,185,83,17.6,701,Store_D,0
MED-2892-DI,Antibiotics,487,140,93.6,337,Store_D,0
MED-9813-XS,Supplements,286,35,68.31,623,Store_D,0
MED-2802-PN,Antipyretics,237,43,158.08,426,Store_A,0
MED-5181-XI,Antibiotics,196,18,133.44,454,Store_A,0
MED-2756-XG,Analgesics,64,49,54.66,39,Store_B,0
MED-2396-VB,Analgesics,448,22,165.9,229,Store_A,1
MED-3970-XL,Antibiotics,448,88,106.09,496,Store_A,0
MED-9219-DM,Antiseptics,453,88,137.64,229,Store_A,0
MED-2998-PU,Antipyretics,389,110,161.42,512,Store_D,0
MED-5218-EM,Antibiotics,137,149,148.81,395,Store_D,0
MED-1137-XX,Antipyretics,440,144,188.75,528,Store_D,0
MED-9526-ZF,Antipyretics,495,6,112.18,381,Store_D,1
MED-4174-GL,Analgesics,42,112,21.02,249,Store_A,0
MED-1956-WS,Antibiotics,333,50,54.81,619,Store_A,0
MED-4587-UH,Antibiotics,221,123,98.26,399,Store_B,0
MED-5357-TS,Supplements,168,141,97.5,403,Store_A,0
MED-1956-JK,Supplements,164,96,106.55,317,Store_D,0
MED-7588-MO,Analgesics,15,11,70.96,431,Store_C,0
MED-0117-DF,Antibiotics,157,60,112.27,655,Store_B,0
MED-3332-ZG,Antiseptics,418,33,101.73,142,Store_D,1
MED-1166-LL,Supplements,487,123,164.11,660,Store_C,0
MED-3969-RP,Antibiotics,272,19,129.03,690,Store_B,0
MED-8935-AW,Antiseptics,228,87,151.87,374,Store_B,0
MED-7121-UZ,Antiseptics,289,14,37.14,570,Store_A,0
MED-7326-UF,Antiseptics,287,51,46.63,436,Store_D,0
MED-6566-ZK,Antiseptics,465,23,110.74,382,Store_D,1
MED-1456-GQ,Antipyretics,195,119,115.18,442,Store_B,0
MED-5912-CT,Antiseptics,371,26,153.42,140,Store_D,1
MED-0739-AV,Analgesics,190,145,163.29,290,Store_C,0
MED-0455-YS,Antibiotics,392,105,42.82,520,Store_A,0
MED-6400-GL,Analgesics,409,129,163.95,95,Store_A,0
